package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
ndparse,n/a,dparse,n/a,n/a,n/a,n/a
pen,n/a,n/a,n/a,n/a,pem,n/a
zschema,n/a,schema,n/a,n/a,n/a,n/a
chevrons,n/a,chevron,n/a,n/a,n/a,n/a
django-ratelimit9,n/a,django-ratelimit,n/a,n/a,n/a,django-ratelimit
aws-encrpytion-sdk-cli,n/a,n/a,aws-encryption-sdk-cli,n/a,n/a,n/a
uq,n/a,n/a,n/a,n/a,yq,n/a
ggeocoder,geocoder,geocoder,n/a,n/a,n/a,n/a
scss,scs,n/a,n/a,n/a,n/a,n/a
pgpython,n/a,n/a,n/a,n/a,ptpython,n/a
pefile2,n/a,pefile,n/a,n/a,n/a,pefile
gcredstash,n/a,credstash,n/a,n/a,n/a,n/a
lsml,n/a,n/a,n/a,n/a,lxml,n/a
pysma,n/a,n/a,pysam,n/a,n/a,n/a
uri-template,n/a,uritemplate,n/a,uritemplate,uritemplate,n/a
donfig,n/a,n/a,n/a,n/a,config,n/a
slogger,n/a,logger,n/a,n/a,n/a,n/a
fistro,n/a,n/a,n/a,n/a,distro,n/a
gdt,n/a,n/a,n/a,n/a,get,n/a
ypgame,n/a,n/a,pygame,n/a,n/a,n/a
midentify,n/a,identify,n/a,n/a,n/a,n/a
uvarint,n/a,varint,n/a,n/a,n/a,n/a
configa,n/a,config,n/a,n/a,n/a,n/a
globee,n/a,n/a,n/a,n/a,globre,n/a
datalogue,n/a,n/a,n/a,n/a,catalogue,n/a
kazy,n/a,n/a,n/a,n/a,lazy,n/a
json_pointer,n/a,jsonpointer,n/a,jsonpointer,jsonpointer,n/a
termcolors,n/a,termcolor,n/a,n/a,n/a,n/a
pyldapi,n/a,pyldap,n/a,n/a,n/a,n/a
blus,n/a,n/a,n/a,n/a,blis,n/a
pytest-venv,n/a,pytest-env,n/a,n/a,n/a,n/a
django-environs,n/a,django-environ,n/a,n/a,n/a,n/a
vscrapy,n/a,scrapy,n/a,n/a,n/a,n/a
ripe,n/a,n/a,n/a,n/a,rope,n/a
