package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
error-ex,2,1.5154388,1.6348926,0.1194538,,,,
arr-flatten,1,1.3403436,1.4525845,0.1122409,,,,
tiny-warning,1,1.5772316,1.5148687,-0.0623629,,,,
#NAME?,29,3.7101631,4.4121215,0.7019584,,,,
modify-values,1,1.2724411,1.4051971,0.132756,,,,
normalize-range,1,1.4972045,1.359249,-0.1379555,,,,
source-list-map,1,1.321432,1.3032057,-0.0182263,,,,
shellwords,1,1.3404222,1.5541728,0.2137506,,,,
normalize-package-data,10,2.0858377,2.0686701,-0.0171676,,,,
json5,2,1.533115,1.5448542,0.0117392,,,,
regexp.prototype.flags,16,2.8671986,3.3157921,0.4485935,,,,
core-js-compat,7,2.898814,3.3403955,0.4415815,,,,
tiny-invariant,1,1.2420991,1.364448,0.1223489,,,,
load-json-file,20,2.3116229,2.6766843,0.3650614,,,,
portscanner,5,2.0671711,2.0750029,0.0078318,,,,
generate-function,2,1.4143352,1.4620268,0.0476916,,,,
jss-plugin-props-sort,7,2.3195715,2.2381563,-0.0814152,,,,
is-ssh,2,1.4423258,1.5172884,0.0749626,,,,
